instance_type,role,tool,dataset,n_reads,wall_time_s,reads_per_sec,price_per_hr,job_cost_usd,reads_per_dollar_M
c7i.16xlarge,cpu,cpu,large,296169061,936.4110,316281.0571,2.8560,0.7429,398.6736
c7i.2xlarge,cpu,cpu,large,296169061,3615.5370,81915.6493,0.3570,0.3585,826.0402
c7i.4xlarge,cpu,cpu,large,296169061,1836.7660,161244.8515,0.7140,0.3643,812.9993
c7i.8xlarge,cpu,cpu,large,296169061,1028.4960,287963.2599,1.4280,0.4080,725.9578
c8a.2xlarge,cpu,cpu,large,296169061,1864.6090,158837.0865,0.4310,0.2232,1326.7135
c8g.2xlarge,cpu,cpu,large,296169061,2447.6130,121003.2227,0.3190,0.2169,1365.5536
c8i.2xlarge,cpu,cpu,large,296169061,2885.8420,102628.3009,0.3750,0.3006,985.2317
g6e.2xlarge,gpu,gpu,large,296169061,199.2870,1486143.4062,2.7440,0.1519,1949.7508
c7i.16xlarge,cpu,cpu,small,32507828,177.7960,182837.7916,2.8560,0.1411,230.4678
c7i.2xlarge,cpu,cpu,small,32507828,211.6200,153614.1575,0.3570,0.0210,1549.0503
c7i.4xlarge,cpu,cpu,small,32507828,200.2650,162324.0606,0.7140,0.0397,818.4406
c7i.8xlarge,cpu,cpu,small,32507828,177.0520,183606.1044,1.4280,0.0702,462.8725
c8a.2xlarge,cpu,cpu,small,32507828,161.7280,201003.0916,0.4310,0.0194,1678.9121
c8g.2xlarge,cpu,cpu,small,32507828,174.3400,186462.2462,0.3190,0.0154,2104.2761
c8i.2xlarge,cpu,cpu,small,32507828,188.2130,172718.2926,0.3750,0.0196,1658.0956
g6e.2xlarge,gpu,cpu,small,32507828,213.5410,152232.2552,2.7440,0.1628,199.7216
g6e.2xlarge,gpu,gpu,small,32507828,25.7690,1261509.1001,2.7440,0.0196,1655.0411
